PDBID	LigandMonomerID	LigandName	ReceptorKi(binding affinity)	log(Ki)
11GS	50186226.0	CHEMBL212517	15046.0	4.177421057483169
11GS	50186228.0	CHEMBL212097	992.0	2.9965116721541785
11GS	50186229.0	CHEMBL212685	704.0	2.847572659142112
11GS	50186231.0	CHEMBL456	4000.0	3.6020599913279625
11GS	50300261.0	CHEMBL577307	4000.0	3.6020599913279625
11GS	50300262.0	CHEMBL571257	3600.0	3.5563025007672873
11GS	50300263.0	CHEMBL571488	3900.0	3.591064607026499
11GS	50300264.0	CHEMBL576873	40000.0	4.6020599913279625
11GS	50300265.0	CHEMBL568727	3800.0	3.57978359661681
11GS	50300266.0	CHEMBL576684	5400.0	3.7323937598229686
1AO8	18050.0	Methotrexate	6.0	0.7781512503836436
1AO8	50004544.0	CHEMBL9798	22.0	1.3424226808222062
1AO8	50008291.0	CHEMBL280145	100000.0	5.0
1AO8	50010932.0	CHEMBL11191	4.0	0.6020599913279624
1AO8	50016460.0	CHEMBL296373	21.0	1.3222192947339193
1AO8	50016461.0	CHEMBL293263	18.0	1.255272505103306
1AO8	50022388.0	CHEMBL36623	12000.0	4.079181246047625
1AO8	50028603.0	CHEMBL166915	10.0	1.0
1AO8	50028604.0	CHEMBL171757	12.0	1.0791812460476249
1AO8	50326674.0	CHEMBL1254767	2500.0	3.3979400086720375
1AO8	50326675.0	CHEMBL1254855	2000.0	3.3010299956639813
1AO8	50326678.0	CHEMBL1254939	20000.0	4.301029995663981
1AO8	50326679.0	CHEMBL1255023	1300.0	3.113943352306837
1AO8	50326680.0	CHEMBL1255024	1800.0	3.255272505103306
1AQ1	2579.0	Staurosporine	3.0	0.47712125471966244
1AQ1	6745.0	1,7-Annulated indolocarbazole deriv. 13Ab	79.0	1.8976270912904414
1AQ1	6760.0	K-252a	260.0	2.4149733479708178
1AQ1	6763.0	SB-218078	680.0	2.832508912706236
1AQ1	6770.0	indolocarbazole deriv. 4d	180.0	2.255272505103306
1AQ1	6772.0	indolocarbazole deriv. 4e	160.0	2.2041199826559246
1AQ1	6781.0	indolocarbazole deriv. 4j	60.0	1.7781512503836436
1AQ1	17054.0	UCN-01	30.0	1.4771212547196624
1AQ1	17140.0	SB218078	6.0	0.7781512503836436
1AQ1	50059889.0	CHEMBL162	12.0	1.0791812460476249
1AU0	19800.0	carbocyclic analogue, 7	10000.0	4.0
1AU0	19801.0	carbocyclic analogue, 8	10000.0	4.0
1AU0	19811.0	piperidinone analogue, 28	2.0	0.3010299956639812
1AU0	50066650.0	CHEMBL281540	22.0	1.3424226808222062
1AU0	50066654.0	CHEMBL404801	56.0	1.7481880270062005
1AU0	50098578.0	CHEMBL286034	15.0	1.1760912590556813
1AU0	50098582.0	CHEMBL31519	30.0	1.4771212547196624
1AU0	50098584.0	CHEMBL31947	2.0	0.3010299956639812
1AU3	19805.0	pyrrolidinone analogue, 22	250.0	2.3979400086720375
1AU3	19807.0	pyrrolidinone analogue, 24	2.0	0.3010299956639812
1AU3	19808.0	pyrrolidinone analogue, 25	0.6	-0.2218487496163564
1AU3	19809.0	pyrrolidinone analogue, 26	180.0	2.255272505103306
1AU3	19811.0	piperidinone analogue, 28	2.0	0.3010299956639812
1AU3	50066645.0	CHEMBL432634	25.0	1.3979400086720377
1AU3	50066648.0	CHEMBL119285	4.0	0.6020599913279624
1AU3	50098575.0	CHEMBL281086	3.0	0.47712125471966244
1AU3	50098579.0	CHEMBL29483	2.0	0.3010299956639812
1AU3	50098582.0	CHEMBL31519	30.0	1.4771212547196624
1AU3	50098584.0	CHEMBL31947	2.0	0.3010299956639812
1AU4	19805.0	pyrrolidinone analogue, 22	250.0	2.3979400086720375
1AU4	19808.0	pyrrolidinone analogue, 25	0.6	-0.2218487496163564
1AU4	19809.0	pyrrolidinone analogue, 26	180.0	2.255272505103306
1AU4	19810.0	piperidinone analogue, 27	3.0	0.47712125471966244
1AU4	19811.0	piperidinone analogue, 28	2.0	0.3010299956639812
1AU4	19812.0	pyrrolidinone analogue, 29	77.0	1.8864907251724818
1AU4	50066645.0	CHEMBL432634	25.0	1.3979400086720377
1AU4	50066648.0	CHEMBL119285	4.0	0.6020599913279624
1AU4	50098575.0	CHEMBL281086	3.0	0.47712125471966244
1AU4	50098579.0	CHEMBL29483	2.0	0.3010299956639812
1AU4	50098582.0	CHEMBL31519	30.0	1.4771212547196624
1AU4	50098584.0	CHEMBL31947	2.0	0.3010299956639812
1AXW	18050.0	Methotrexate	90000.0	4.954242509439325
1AXW	18245.0	Pyrrolo[2, 3-d]pyrimidine analogue, 1a	180000.0	5.2552725051033065
1AXW	20676.0	Pyrrolo[3,2-d]pyrimidine analogue, 4	69.0	1.8388490907372552
1AXW	50012244.0	CHEMBL25889	5.0	0.6989700043360189
1AXW	50028408.0	CHEMBL265510	90.0	1.954242509439325
1AXW	50100249.0	CHEMBL61708	1200.0	3.0791812460476247
1AXW	50158424.0	CB3717	60.0	1.7781512503836436
1AXW	50171511.0	CHEMBL365307	170000.0	5.230448921378274
1AXW	50171513.0	CHEMBL192632	180000.0	5.2552725051033065
1B6A	17446.0	TNP-470	1.0	0.0
1B6A	36588.0	AGM-1470	1.0	0.0
1B6A	36589.0	Ovalicin	0.4	-0.3979400086720376
1B6A	36591.0	FOS-37	8.0	0.9030899869919435
1B6A	36595.0	FOS-68	2.0	0.3010299956639812
1B6A	36596.0	FOS-34	4.0	0.6020599913279624
1B6A	36597.0	FOS-69	0.1	-1.0
1B6A	50131563.0	CHEMBL325412	53600.0	4.72916478969277
1B6A	50137403.0	CHEMBL368349	0.43	-0.36653154442041347
1B6A	50137405.0	CHEMBL176975	0.39	-0.4089353929735008
1BGQ	15361.0	Microlactone, 1	200.0	2.3010299956639813
1BGQ	68250.0	Microlactone, 15b	1000.0	3.0
1BGQ	68252.0	Microlactone, 17	23000.0	4.361727836017593
1BGQ	68254.0	Microlactone, 26	100000.0	5.0
1BGQ	68257.0	Microlactone, 15d	10000.0	4.0
1BGQ	68258.0	Microlactone, 19	16000.0	4.204119982655925
1BGQ	68262.0	Microlactone, 15g	13000.0	4.113943352306837
1BGQ	68266.0	Microlactone, 15j	240.0	2.380211241711606
1BN3	11390.0	AL-6619	1.0	0.0
1BN3	11391.0	AL-6629	1.0	0.0
1BN3	11393.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 1	0.91	-0.040958607678906384
1BN3	11394.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 2	0.82	-0.08618614761628333
1BN3	11395.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 3	0.96	-0.017728766960431602
1BN3	11396.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 4	2.0	0.3010299956639812
1BN3	11403.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 5	0.24	-0.619788758288394
1BN3	11408.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 15	2.0	0.3010299956639812
1BN3	11421.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11	-0.958607314841775
1BN3	11422.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08	-1.0969100130080565
1BN3	11423.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 30	0.12	-0.9208187539523752
1BN3	11425.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16	-0.7958800173440752
1BN3	11935.0	AL7182	0.1	-1.0
1BN3	11938.0	AL6528	0.13	-0.8860566476931632
1BNM	10885.0	Brinzolamide (BRZ)	3.0	0.47712125471966244
1BNM	11391.0	AL-6629	1.0	0.0
1BNM	11392.0	AL-8520	1.0	0.0
1BNM	11421.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11	-0.958607314841775
1BNM	11422.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08	-1.0969100130080565
1BNM	11425.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16	-0.7958800173440752
1BNM	11932.0	AL5300	0.2	-0.6989700043360187
1BNM	11933.0	AL5424	0.16	-0.7958800173440752
1BNM	11934.0	AL4623	0.32	-0.494850021680094
1BNM	11935.0	AL7182	0.1	-1.0
1BNM	11936.0	AL7089	0.1	-1.0
1BNM	11937.0	AL7099	2.0	0.3010299956639812
1BNM	13056.0	sulfonamide 6	3.0	0.47712125471966244
1BNN	10885.0	Brinzolamide (BRZ)	3.0	0.47712125471966244
1BNN	11391.0	AL-6629	1.0	0.0
1BNN	11392.0	AL-8520	1.0	0.0
1BNN	11421.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11	-0.958607314841775
1BNN	11422.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08	-1.0969100130080565
1BNN	11425.0	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16	-0.7958800173440752
1BNN	11932.0	AL5300	0.2	-0.6989700043360187
1BNN	11933.0	AL5424	0.16	-0.7958800173440752
1BNN	11934.0	AL4623	0.32	-0.494850021680094
1BNN	11935.0	AL7182	0.1	-1.0
1BNN	11936.0	AL7089	0.1	-1.0
1BNN	11937.0	AL7099	2.0	0.3010299956639812
1BNN	11938.0	AL6528	0.13	-0.8860566476931632
1BNN	13056.0	sulfonamide 6	3.0	0.47712125471966244
