PDB ID	Ligand Monomer ID	Ligand Name	Receptor Ki (binding affinity)
11GS	50186226	CHEMBL212517	15046
11GS	50186228	CHEMBL212097	992
11GS	50186229	CHEMBL212685	704
11GS	50186231	CHEMBL456	4000
11GS	50300261	CHEMBL577307	4000
11GS	50300262	CHEMBL571257	3600
11GS	50300263	CHEMBL571488	3900
11GS	50300264	CHEMBL576873	40000
11GS	50300265	CHEMBL568727	3800
11GS	50300266	CHEMBL576684	5400
1A9U	13336	SB203580	37
1A9U	50071885	CHEMBL314238	80
1A9U	50075778	CHEMBL17370	120
1A9U	50104351	CHEMBL276063	100
1A9U	50104352	CHEMBL17736	70
1A9U	50104356	CHEMBL416169	130
1A9U	50104357	CHEMBL420232	90
1A9U	50104360	CHEMBL316264	100
1A9U	50104373	CHEMBL17396	210
1A9U	50104379	CHEMBL85713	860
1A9U	50104381	CHEMBL88045	520
1A9U	50104383	SB-202190	80
1A9U	50343509	CHEMBL10	50
1AN5	18050	Methotrexate	90000
1AN5	20676	Pyrrolo[3,2-d]pyrimidine analogue, 4	69
1AN5	50008294	CHEMBL422395	19
1AN5	50028408	CHEMBL265510	90
1AN5	50158424	CB3717	60
1AN5	50158426	CHEMBL225071	57000
1AN5	50158535	CHEMBL374172	180000
1AN5	50171511	CHEMBL365307	170000
1AN5	50171513	CHEMBL192632	180000
1AO8	18050	Methotrexate	6
1AO8	50004544	CHEMBL9798	22
1AO8	50008291	CHEMBL280145	100000
1AO8	50010932	CHEMBL11191	4
1AO8	50016460	CHEMBL296373	21
1AO8	50016461	CHEMBL293263	18
1AO8	50022388	CHEMBL36623	12000
1AO8	50028603	CHEMBL166915	10
1AO8	50028604	CHEMBL171757	12
1AO8	50326674	CHEMBL1254767	2500
1AO8	50326675	CHEMBL1254855	2000
1AO8	50326678	CHEMBL1254939	20000
1AO8	50326679	CHEMBL1255023	1300
1AO8	50326680	CHEMBL1255024	1800
1AQ1	2579	Staurosporine	3
1AQ1	6745	1,7-Annulated indolocarbazole deriv. 13Ab	79
1AQ1	6760	K-252a	260
1AQ1	6763	SB-218078	680
1AQ1	6770	indolocarbazole deriv. 4d	180
1AQ1	6772	indolocarbazole deriv. 4e	160
1AQ1	6781	indolocarbazole deriv. 4j	60
1AQ1	17054	UCN-01	30
1AQ1	17140	SB218078	6
1AQ1	50059889	CHEMBL162	12
1AU0	19800	carbocyclic analogue, 7	10000
1AU0	19801	carbocyclic analogue, 8	10000
1AU0	19811	piperidinone analogue, 28	2
1AU0	50066650	CHEMBL281540	22
1AU0	50066654	CHEMBL404801	56
1AU0	50098578	CHEMBL286034	15
1AU0	50098582	CHEMBL31519	30
1AU0	50098584	CHEMBL31947	2
1AU3	19805	pyrrolidinone analogue, 22	250
1AU3	19807	pyrrolidinone analogue, 24	2
1AU3	19808	pyrrolidinone analogue, 25	0.60
1AU3	19809	pyrrolidinone analogue, 26	180
1AU3	19811	piperidinone analogue, 28	2
1AU3	50066645	CHEMBL432634	25
1AU3	50066648	CHEMBL119285	4
1AU3	50098575	CHEMBL281086	3
1AU3	50098579	CHEMBL29483	2
1AU3	50098582	CHEMBL31519	30
1AU3	50098584	CHEMBL31947	2
1AU4	19805	pyrrolidinone analogue, 22	250
1AU4	19808	pyrrolidinone analogue, 25	0.60
1AU4	19809	pyrrolidinone analogue, 26	180
1AU4	19810	piperidinone analogue, 27	3
1AU4	19811	piperidinone analogue, 28	2
1AU4	19812	pyrrolidinone analogue, 29	77
1AU4	50066645	CHEMBL432634	25
1AU4	50066648	CHEMBL119285	4
1AU4	50098575	CHEMBL281086	3
1AU4	50098579	CHEMBL29483	2
1AU4	50098582	CHEMBL31519	30
1AU4	50098584	CHEMBL31947	2
1AXW	18050	Methotrexate	90000
1AXW	18245	Pyrrolo[2, 3-d]pyrimidine analogue, 1a	180000
1AXW	20676	Pyrrolo[3,2-d]pyrimidine analogue, 4	69
1AXW	50012244	CHEMBL25889	5
1AXW	50028408	CHEMBL265510	90
1AXW	50100249	CHEMBL61708	1200
1AXW	50158424	CB3717	60
1AXW	50171511	CHEMBL365307	170000
1AXW	50171513	CHEMBL192632	180000
1B6A	17446	TNP-470	1
1B6A	36588	AGM-1470	1
1B6A	36589	Ovalicin	0.40
1B6A	36591	FOS-37	8
1B6A	36595	FOS-68	2
1B6A	36596	FOS-34	4
1B6A	36597	FOS-69	0.10
1B6A	50131563	CHEMBL325412	53600
1B6A	50137403	CHEMBL368349	0.43
1B6A	50137405	CHEMBL176975	0.39
1BGQ	15361	Microlactone, 1	200
1BGQ	68250	Microlactone, 15b	1000
1BGQ	68252	Microlactone, 17	23000
1BGQ	68254	Microlactone, 26	100000
1BGQ	68257	Microlactone, 15d	10000
1BGQ	68258	Microlactone, 19	16000
1BGQ	68262	Microlactone, 15g	13000
1BGQ	68266	Microlactone, 15j	240
1BN3	11390	AL-6619	1
1BN3	11391	AL-6629	1
1BN3	11393	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 1	0.91
1BN3	11394	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 2	0.82
1BN3	11395	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 3	0.96
1BN3	11396	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 4	2
1BN3	11403	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 5	0.24
1BN3	11408	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 15	2
1BN3	11421	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11
1BN3	11422	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08
1BN3	11423	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 30	0.12
1BN3	11425	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16
1BN3	11935	AL7182	0.10
1BN3	11938	AL6528	0.13
1BNM	10885	Brinzolamide (BRZ)	3
1BNM	11391	AL-6629	1
1BNM	11392	AL-8520	1
1BNM	11421	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11
1BNM	11422	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08
1BNM	11425	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16
1BNM	11932	AL5300	0.20
1BNM	11933	AL5424	0.16
1BNM	11934	AL4623	0.32
1BNM	11935	AL7182	0.10
1BNM	11936	AL7089	0.10
1BNM	11937	AL7099	2
1BNM	13056	sulfonamide 6	3
1BNN	10885	Brinzolamide (BRZ)	3
1BNN	11391	AL-6629	1
1BNN	11392	AL-8520	1
1BNN	11421	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11
1BNN	11422	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08
1BNN	11425	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16
1BNN	11932	AL5300	0.20
1BNN	11933	AL5424	0.16
1BNN	11934	AL4623	0.32
1BNN	11935	AL7182	0.10
1BNN	11936	AL7089	0.10
1BNN	11937	AL7099	2
1BNN	11938	AL6528	0.13
1BNN	13056	sulfonamide 6	3
1BNQ	10885	Brinzolamide (BRZ)	3
1BNQ	11392	AL-8520	1
1BNQ	11932	AL5300	0.20
1BNQ	11934	AL4623	0.32
1BNQ	11935	AL7182	0.10
1BNQ	11936	AL7089	0.10
1BNQ	11937	AL7099	2
1BNQ	13056	sulfonamide 6	3
1BNQ	50017729	CHEMBL545239	0.69
1BNQ	50080670	CHEMBL341002	3
1BNT	10885	Brinzolamide (BRZ)	3
1BNT	11390	AL-6619	1
1BNT	11391	AL-6629	1
1BNT	11392	AL-8520	1
1BNT	11421	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11
1BNT	11422	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 29	0.08
1BNT	11932	AL5300	0.20
1BNT	11933	AL5424	0.16
1BNT	11935	AL7182	0.10
1BNT	11936	AL7089	0.10
1BNT	11937	AL7099	2
1BNT	11938	AL6528	0.13
1BNT	13056	sulfonamide 6	3
1BNU	10885	Brinzolamide (BRZ)	3
1BNU	11392	AL-8520	1
1BNU	11932	AL5300	0.20
1BNU	11933	AL5424	0.16
1BNU	11934	AL4623	0.32
1BNU	11935	AL7182	0.10
1BNU	11936	AL7089	0.10
1BNU	11937	AL7099	2
1BNU	13056	sulfonamide 6	3
1BNV	10885	Brinzolamide (BRZ)	3
1BNV	11391	AL-6629	1
1BNV	11392	AL-8520	1
1BNV	11421	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 28	0.11
1BNV	11425	2H-Thieno[3,2-e]-1,2-thiazine-6-sulfonamide 1,1-dioxide 33	0.16
1BNV	11932	AL5300	0.20
1BNV	11933	AL5424	0.16
1BNV	11934	AL4623	0.32
1BNV	11935	AL7182	0.10
1BNV	11936	AL7089	0.10
1BNV	11937	AL7099	2
1BNV	13056	sulfonamide 6	3
1BZJ	50069997	CHEMBL119459	26000
1BZJ	50070000	CHEBI:293868	130000
1BZJ	50070001	CHEBI:293895	112000
1BZJ	50070003	CHEMBL119693	29000
1BZJ	50070004	CHEBI:293867	93000
1BZJ	50075312	CHEMBL60857	718100
1BZJ	50102186	CHEMBL57974	2500
1BZJ	50103227	CHEMBL99447	22000
1BZJ	50107745	CHEBI:334115	26000
1BZJ	50239833	CHEMBL259628	120
1CIL	10884	Dorzolamide (DZA)	0.37
1CIL	13054	Dorzolamide, DZA	9
1CIL	50017726	CHEMBL554854	2
1CIL	50017728	CHEMBL543604	1
1CIL	50041027	CHEMBL9688	0.30
1CIL	50041033	CHEMBL475	2
1CIL	50041037	CHEMBL415964	0.17
1CIL	50041041	CHEMBL273822	2
1CIL	50041042	CHEMBL276679	15
1CIL	50041045	CHEMBL273599	0.14
1CIL	50041048	CHEMBL9660	1
1CIL	50094370	Sulfonamide, 5	9
1CIL	50160672	Sulfonamide, 6	3
1CIM	10884	Dorzolamide (DZA)	0.37
1CIM	13054	Dorzolamide, DZA	9
1CIM	50017731	CHEMBL554091	4
1CIM	50017732	CHEMBL545245	2
1CIM	50041027	CHEMBL9688	0.30
1CIM	50041033	CHEMBL475	2
1CIM	50041037	CHEMBL415964	0.17
1CIM	50041041	CHEMBL273822	2
1CIM	50041042	CHEMBL276679	15
1CIM	50041045	CHEMBL273599	0.14
1CIM	50041048	CHEMBL9660	1
1CIM	50094370	Sulfonamide, 5	9
1CIM	50160672	Sulfonamide, 6	3
1CIN	10884	Dorzolamide (DZA)	0.37
1CIN	13054	Dorzolamide, DZA	9
1CIN	50017731	CHEMBL554091	4
1CIN	50017732	CHEMBL545245	2
1CIN	50041027	CHEMBL9688	0.30
1CIN	50041033	CHEMBL475	2
